LDCT_PSNR,Enhanced_PSNR,Region_Adaptive_PSNR,LDCT_SSIM,Enhanced_SSIM,Region_Adaptive_SSIM
27.95502,27.506153,28.128765,0.9630230425121264,0.9740343866752972,0.9789821625197419
27.907394,26.87138,27.410221,0.9699161487908485,0.9772435951915462,0.9812057810817513
27.903866,26.332758,26.785835,0.971591457571332,0.9774107795790862,0.9809590151614993
27.854622,26.6143,27.161896,0.9741874284811001,0.9787726251812042,0.9825876142400901
28.078945,27.285059,27.790964,0.9599348893710512,0.9691483053388378,0.9743652150606307
27.987421,27.286182,27.802046,0.9576224507501356,0.9681522563079142,0.9730810174883873
28.028332,26.987322,27.396599,0.9663014419762829,0.9728569600793815,0.9763362574528258
27.934893,26.844566,27.232332,0.9738226885741905,0.9789032310370338,0.9814373691124249
27.938904,27.08849,27.548637,0.9725068458381207,0.9785033676610758,0.9815241950263559
28.088516,27.482899,28.041164,0.9569607587084906,0.9697030278877774,0.9747081767380583
27.985538,27.268583,27.836464,0.9678110097058578,0.9756921325002023,0.9797332199801474
27.872921,26.750002,27.33372,0.9687754434805019,0.9756295841201381,0.9794346118234346
27.938034,27.011139,27.511848,0.9549807485330191,0.967185405672314,0.9726496530261796
27.963966,26.844414,27.323015,0.9588596323302597,0.9697062997385623,0.974533523522785
27.968996,26.86914,27.405426,0.9591313518127375,0.9682718545028963,0.9732197344576785
27.941078,26.801641,27.45597,0.9541781822249144,0.9632794211072647,0.9694652005914964
27.961332,26.852695,27.405767,0.9493765920853644,0.9607109021654145,0.9672171039284521
27.920246,26.843653,27.423073,0.9468874367465746,0.9585521800796248,0.9655452554130269
27.97826,26.893911,27.346684,0.9488522178730326,0.9612387318108413,0.967415219975668
27.977335,26.882282,27.420578,0.9509713135462515,0.9632630143374545,0.9697038773541268
27.975407,26.936405,27.391598,0.9478783666674105,0.9615948067196959,0.9686421620344511
27.987535,26.987694,27.435963,0.9467683209847467,0.9629615268848011,0.9697595566317233
27.926208,26.708181,27.157593,0.9453510616077271,0.960011344248567,0.9670751419470218
28.085672,27.001965,27.385124,0.9484349408981729,0.9625947750457304,0.96929767174014
28.000095,26.879818,27.34916,0.9466238912002851,0.9621841972590351,0.9696701484474928
28.101204,27.057163,27.588045,0.9469200038300354,0.9626979148505564,0.9701975221807085
27.887344,26.830023,27.367252,0.9449014862575249,0.9619414309313337,0.9692163667055294
28.073576,26.99127,27.518139,0.9460307289518506,0.9611260521512743,0.9682658481048894
27.987623,26.861507,27.392319,0.9466046067818267,0.9603063146598125,0.967248716413666
27.991476,26.881107,27.371754,0.9468626981146959,0.9611080367454571,0.9678616447492341
28.129751,26.881554,27.354256,0.9488494121089733,0.9620983625430384,0.9686357828007902
27.971838,26.78232,27.26228,0.9461160770287332,0.9594799360972526,0.9661896364339774
27.957073,26.932213,27.459295,0.9457560503287408,0.9578807592740816,0.9649902842968
27.871391,26.926407,27.472881,0.944768429223738,0.9576454710918932,0.9644257357835031
27.910994,26.809109,27.35815,0.9461224877156028,0.9580112006285667,0.9651356993928426
27.942675,26.961826,27.540142,0.9459898233485631,0.9597175577741134,0.966897833101758
28.007185,27.337261,27.875206,0.9479322327163061,0.9618903640799379,0.968910183071168
27.914991,27.073406,27.632004,0.9472422092511874,0.9616529652702032,0.9689099753692542
27.866838,26.866083,27.365223,0.9486810642826718,0.963171390194155,0.9699122966853455
